px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.44824	0.251433	-0.209662	5.61075e-18	-8.67362e-18	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000126299
8.4547	0.241136	-0.0786362	0.00381345	0.000431789	8.56759	0.241943	8.45	0.25	0	0	0.0642159
8.45399	0.244416	-0.0778777	0.00143524	8.56092e-05	8.45582	0.253997	8.45	0.25	0	0	0.00857844
8.35542	0.248023	-1.02722	-0.0292335	-0.00287796	8.42544	0.254042	8.35	0.25	-1.81979	0	24.2777
8.2896	0.248885	-1.04433	-0.0279513	-0.00236431	8.23962	0.24916	8.25	0.25	-1.81978	0	0.261131
8.09462	0.198724	-1.57268	0.635001	0.247042	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	50.2287
7.98458	0.175875	-1.61604	0.49067	0.176681	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.9908
7.77922	0.291818	-1.87486	-0.819013	-0.806343	7.61269	0.155818	7.7	0.15	-2.99982	0	18.9798
7.67046	0.302925	-1.93261	-0.630776	-0.662627	7.54016	0.159641	7.55	0.15	-2.99982	0	3.44689
7.55607	0.22969	-1.94364	-0.234747	-0.419397	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	5.90755
7.42643	0.213493	-1.94158	-0.157766	-0.36105	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	3.25998
7.26622	0.115598	-2.06613	0.166996	0.3219	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	14.7672
7.1358	0.0639238	-2.0727	0.265016	0.473133	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	1.72819
7.03731	-0.0674915	-2.02941	0.561799	1.10965	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	3.58336
6.93006	-0.152876	-2.05234	0.67685	1.21458	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	1.43564
6.81557	-0.231063	-2.11854	0.62275	0.729065	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	7.30507
6.71767	-0.31676	-2.1497	0.697762	0.790325	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	2.07835
6.67674	-0.482049	-2.18555	1.01326	1.4101	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	5.717
6.61248	-0.584116	-2.20359	1.09051	1.41585	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.549381
6.57164	-0.754764	-2.27658	1.28791	1.62429	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	4.42706
