px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
1.75843e-316	-8.25	0.909516	-1.81902	1.75793e-316	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.44818	0.251553	0	0	0	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.44818	0.251553	0	0	0	8.56759	0.241943	8.45	0.25	0	0	0
8.45581	0.253961	0.0692945	6.50521e-18	2.42861e-17	8.45582	0.253997	8.45	0.25	0	0	1.11728e-05
8.45581	0.253961	0.0692945	6.50521e-18	2.42861e-17	8.42544	0.254042	8.35	0.25	-1.81979	0	0
8.24246	0.251577	-1.86705	-0.00064532	-0.000146347	8.23962	0.24916	8.25	0.25	-1.81978	0	0.0426111
8.24246	0.251577	-1.86705	-0.00064532	-0.000146347	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	0
7.88855	0.20111	-3.03149	0.272258	0.0917392	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.14135
7.88855	0.20111	-3.03149	0.272258	0.0917392	7.61269	0.155818	7.7	0.15	-2.99982	0	0
7.57909	0.16059	-3.39947	0.180852	0.0478473	7.54016	0.159641	7.55	0.15	-2.99982	0	0.358018
7.57909	0.16059	-3.39947	0.180852	0.0478473	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0
7.30763	0.0442073	-3.21206	0.291456	0.12509	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.275424
7.30763	0.0442073	-3.21206	0.291456	0.12509	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0
7.02297	-0.0565044	-3.09284	0.318755	0.14938	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.150343
7.02297	-0.0565044	-3.09284	0.318755	0.14938	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	0
6.78672	-0.229128	-2.95441	0.457621	0.401629	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.774992
6.78672	-0.229128	-2.95441	0.457621	0.401629	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0
6.59085	-0.426925	-2.88682	0.625023	0.678973	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.630032
6.59085	-0.426925	-2.88682	0.625023	0.678973	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	0
6.46091	-0.643797	-2.77077	0.823311	0.95675	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	1.29169
6.46091	-0.643797	-2.77077	0.823311	0.95675	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0
6.37959	-0.984194	-2.75154	1.16414	1.39566	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	1.80186
6.37959	-0.984194	-2.75154	1.16414	1.39566	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	0
6.26806	-1.25491	-2.75465	1.29109	1.35102	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.0300919
6.26806	-1.25491	-2.75465	1.29109	1.35102	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	0
6.29892	-1.60151	-2.77648	1.58164	1.56272	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	1.07137
6.29892	-1.60151	-2.77648	1.58164	1.56272	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	0
6.28957	-1.89269	-2.81429	1.7071	1.51499	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0.519044
6.28957	-1.89269	-2.81429	1.7071	1.51499	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	0
6.3497	-2.18444	-2.84345	1.86528	1.52034	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0.264999
6.3497	-2.18444	-2.84345	1.86528	1.52034	6.32593	-2.40018	6.35	-2.4	0	-2.72613	0
