px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
1.09861e-316	24.0276	2.37349	0.508655	1.0985e-316	0	0	0	0	0	0	0
0.0001	0.0001	0	0	0	0	0	0	0	0	0	0
0.0001	0.0001	0	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
22.1177	-0.674116	21.5785	1.67634e-16	2.92527e-15	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	8.03782
22.1177	-0.674116	21.5785	1.67634e-16	2.92527e-15	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
-54.6319	9.8023	-56.377	-3.58324	3.10059	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	43.0297
-54.6319	9.8023	-56.377	-3.58324	3.10059	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
543.43	1068.62	-165.615	52.1471	17.1722	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	-108.632
543.43	1068.62	-165.615	52.1471	17.1722	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
580.985	-287.697	-410.666	-73.7694	-92.8333	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	4861
580.985	-287.697	-410.666	-73.7694	-92.8333	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
-30.9375	-93.632	-1008.91	75.3584	-89.9485	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	10102.3
-30.9375	-93.632	-1008.91	75.3584	-89.9485	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
186.465	-85.6623	-612.685	233.303	-36.5063	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	2593.66
186.465	-85.6623	-612.685	233.303	-36.5063	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
64.4952	101.085	-568.733	-6.04893	-30.1195	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	126.175
64.4952	101.085	-568.733	-6.04893	-30.1195	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
83.79	-27.6177	-586.912	-21.3955	-34.6527	19.363	3.87122	18.923	3.74161	2.61382	0.95648	52.6264
83.79	-27.6177	-586.912	-21.3955	-34.6527	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
40.9399	59.5275	-601.652	-3.73452	-43.3833	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	16.9799
40.9399	59.5275	-601.652	-3.73452	-43.3833	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
49.4793	11.4225	-574.46	6.4991	-43.6029	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	507.698
49.4793	11.4225	-574.46	6.4991	-43.6029	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0
27.5338	8.44934	-382.176	2.43075	-43.6532	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	444.465
27.5338	8.44934	-382.176	2.43075	-43.6532	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0
29.467	8.50591	-362.535	1.66681	-44.9658	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	49.6351
29.467	8.50591	-362.535	1.66681	-44.9658	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0
32.2052	6.61494	-353.246	2.1838	-42.7011	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	171.086
32.2052	6.61494	-353.246	2.1838	-42.7011	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0
33.6639	13.6979	-339.185	-6.31653	-50.4377	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	1162.88
33.6639	13.6979	-339.185	-6.31653	-50.4377	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0
37.45	13.0057	-338.852	0.588593	-49.9904	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	6.56146
37.45	13.0057	-338.852	0.588593	-49.9904	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0
39.4747	13.9445	-338.745	1.23529	-49.2692	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	13.7816
39.4747	13.9445	-338.745	1.23529	-49.2692	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0
42.3609	15.6682	-338.626	1.93799	-48.85	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	15.7557
42.3609	15.6682	-338.626	1.93799	-48.85	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0
44.9422	19.7381	-337.596	-3.86743	-53.2004	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	164.862
44.9422	19.7381	-337.596	-3.86743	-53.2004	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0
47.2247	18.6112	-337.632	0.695053	-53.7668	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	2.99382
47.2247	18.6112	-337.632	0.695053	-53.7668	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	0
50.411	27.5272	-331.616	-4.39279	-59.6309	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	497.286
