px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.2961	23.9845	3.03605	0.217583	-0.0196446	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.85603
66.2435	23.9673	2.60714	0.162472	-0.127974	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.99959
68.2847	24.3589	2.40188	0.149542	-0.0564475	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.487183
68.3149	24.3741	2.53543	0.176966	-0.0125455	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	0.983388
70.806	24.8775	2.71628	0.235776	0.0330013	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.420871
70.7807	24.8631	2.45622	0.20169	-0.0242584	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	1.02766
72.905	24.7245	2.35461	-0.152492	-0.232054	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.460628
72.9176	24.737	2.38871	-0.133082	-0.205092	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.360501
75.0121	25.2393	2.10311	0.291167	0.188499	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.48946
75.0074	25.2366	2.08761	0.289289	0.18687	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0322169
77.1187	24.9509	2.09054	-0.293867	-0.29696	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.49966
77.1219	24.9555	2.06671	-0.310964	-0.327417	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.231681
79.0964	25.0109	1.89763	0.0687767	0.119364	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.97362
79.0948	25.0115	1.87582	0.0639945	0.108842	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.035627
80.8101	24.8766	1.8798	-0.0668839	-0.0397313	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.15456
80.8128	24.8688	1.77671	-0.123439	-0.127639	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0.690734
82.5965	24.6367	1.96459	-0.13126	-0.051417	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.402764
82.5706	24.6279	1.83024	-0.210852	-0.181769	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.569858
84.1742	24.539	1.73326	-0.0542676	0.023262	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.346814
84.1702	24.5345	1.69663	-0.0725251	-0.00642984	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.125084
85.648	23.8239	1.69311	-0.556906	-0.29748	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.644889
85.6715	23.8369	1.75497	-0.484463	-0.191361	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.498895
86.9639	23.4993	1.36371	-0.297963	0.0309161	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.25905
86.9935	23.5062	1.38133	-0.285575	0.0326822	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	1.55904
88.7463	22.7998	2.05494	-0.390767	-0.0502522	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	3.49969
88.7032	22.7751	1.92853	-0.569865	-0.298296	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.12863
89.574	22.2551	1.0549	-0.71049	-0.232968	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	5.37182
89.6097	22.2642	1.13099	-0.608216	-0.0719171	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.747261
90.5029	21.6645	1.17119	-0.566372	-0.00169134	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0765636
90.543	21.6816	1.24341	-0.448917	0.136091	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.09163
91.7009	21.1199	1.40626	-0.351424	0.114689	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.186879
91.6944	21.1198	1.31719	-0.440715	-0.0233311	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.29727
92.8512	20.9378	1.25959	-0.0672977	0.210272	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.478369
92.8446	20.9463	1.1293	-0.101058	0.142914	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	1.52249
93.5185	20.2527	0.816467	-0.771246	-0.328671	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	2.94136
93.555	20.2905	0.96786	-0.568054	-0.0783954	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.45285
95.2013	19.6653	1.92555	-0.0224074	0.304512	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	8.70759
95.0594	19.6671	1.41878	-0.30953	-0.0396143	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	8.92528
95.587	19.6742	0.693536	-0.18963	0.0498611	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	4.67021
95.6017	19.6721	0.787626	-0.170497	0.0824951	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.199387
96.271	19.1928	0.821581	-0.683366	-0.262821	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.889193
96.3007	19.2099	0.915839	-0.54379	-0.110495	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.72504
97.4591	18.7285	1.41375	-0.22836	0.136274	97.5286	18.727	97.45	18.506	0.868716	-0.503009	2.70041
97.418	18.7141	1.26681	-0.370836	-0.0335191	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	1.21792
98.2377	18.3667	1.03289	-0.382547	-0.0232814	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.445939
98.2357	18.3628	0.998768	-0.410236	-0.0643976	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.189769
99.0316	17.3902	1.24481	-1.12839	-0.438769	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	1.3139
99.0652	17.4411	1.27844	-0.762479	0.00715672	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.85277
99.9904	16.96	1.07442	-0.427743	0.194561	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.77251
100.008	16.9634	1.06858	-0.425994	0.18191	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	0.769197
101.165	16.5402	1.37316	-0.189828	0.210305	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.810164
101.131	16.5318	1.21189	-0.29861	0.0748245	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.776446
102.36	16.3929	1.38238	0.0345349	0.22147	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.497377
102.312	16.3849	1.17978	-0.013985	0.166096	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.51834
103.05	15.4031	0.85395	-1.07151	-0.533463	103.003	15.353	103.119	15.4967	1.11708	-0.508169	4.6545
103.056	15.4718	1.03307	-0.641352	0.0121017	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	4.5858
