px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3173	23.9909	3.10369	0.171324	-0.054965	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	0
68.2935	24.3622	2.60046	0.155173	-0.0331619	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	1.73836
68.2935	24.3622	2.60046	0.155173	-0.0331619	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	0
70.8182	24.8808	2.76306	0.221956	0.0308936	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.17444
70.8182	24.8808	2.76306	0.221956	0.0308936	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0
72.9117	24.726	2.42296	-0.10942	-0.197226	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	1.07707
72.9117	24.726	2.42296	-0.10942	-0.197226	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0
75.0106	25.2429	2.25334	0.294312	0.181528	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.10096
75.0106	25.2429	2.25334	0.294312	0.181528	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0
77.1254	24.9506	2.13551	-0.247908	-0.271312	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.43402
77.1254	24.9506	2.13551	-0.247908	-0.271312	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0
79.1096	25.0204	2.07654	0.0539618	0.0850127	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0.851379
79.1096	25.0204	2.07654	0.0539618	0.0850127	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0
80.8171	24.8757	1.94306	-0.0796506	-0.0506557	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.24438
80.8171	24.8757	1.94306	-0.0796506	-0.0506557	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0
82.6172	24.641	2.0063	-0.171209	-0.075735	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0292055
82.6172	24.641	2.0063	-0.171209	-0.075735	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0
84.1853	24.5434	1.82291	-0.073657	0.0292804	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.284056
84.1853	24.5434	1.82291	-0.073657	0.0292804	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0
85.6462	23.8223	1.72433	-0.563078	-0.288101	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.702288
85.6462	23.8223	1.72433	-0.563078	-0.288101	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0
86.9508	23.5016	1.46296	-0.324538	0.0275738	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.11745
86.9508	23.5016	1.46296	-0.324538	0.0275738	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	0
88.781	22.8014	2.06048	-0.365023	-0.00970509	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.07574
88.781	22.8014	2.06048	-0.365023	-0.00970509	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0
89.5464	22.2921	1.39006	-0.516952	-0.0957973	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	3.38425
89.5464	22.2921	1.39006	-0.516952	-0.0957973	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0
90.5178	21.6653	1.31679	-0.623941	-0.102913	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0291286
90.5178	21.6653	1.31679	-0.623941	-0.102913	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	0
91.7038	21.1117	1.42832	-0.39347	0.0917782	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.322437
91.7038	21.1117	1.42832	-0.39347	0.0917782	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	0
92.8633	20.9446	1.3411	-0.0571674	0.233528	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.167827
92.8633	20.9446	1.3411	-0.0571674	0.233528	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	0
93.5043	20.2435	0.849265	-0.628305	-0.228284	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	2.89927
93.5043	20.2435	0.849265	-0.628305	-0.228284	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0
95.2357	19.6675	1.83737	0.194381	0.382595	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	7.40169
95.2357	19.6675	1.83737	0.194381	0.382595	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	0
95.5777	19.7302	0.948001	0.488541	0.36629	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	6.79749
95.5777	19.7302	0.948001	0.488541	0.36629	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0
96.2601	19.229	0.376301	-0.361673	-0.34491	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	5.10197
96.2601	19.229	0.376301	-0.361673	-0.34491	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0
97.4421	18.7626	1.44728	-0.565075	-0.259566	97.5286	18.727	97.45	18.506	0.868716	-0.503009	6.54121
97.4421	18.7626	1.44728	-0.565075	-0.259566	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0
98.2165	18.3653	1.33823	-0.62951	-0.169813	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.160626
98.2165	18.3653	1.33823	-0.62951	-0.169813	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0
99.0349	17.3666	1.45151	-1.02221	-0.294837	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.158207
99.0349	17.3666	1.45151	-1.02221	-0.294837	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0
99.9905	16.9515	1.04218	-0.590251	0.113459	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	2.09027
99.9905	16.9515	1.04218	-0.590251	0.113459	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	0
101.174	16.5355	1.3438	-0.101034	0.332912	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.896088
101.174	16.5355	1.3438	-0.101034	0.332912	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0
102.382	16.4054	1.40248	0.0155915	0.211097	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.109758
102.382	16.4054	1.40248	0.0155915	0.211097	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	0
103.042	15.39	0.807413	-0.890341	-0.420709	103.003	15.353	103.119	15.4967	1.11708	-0.508169	4.5144
103.042	15.39	0.807413	-0.890341	-0.420709	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	0
104.052	15.2211	0.811263	0.103653	0.404695	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	4.73973
104.052	15.2211	0.811263	0.103653	0.404695	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0
105.484	14.5013	1.44764	-1.21336	-0.526982	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	7.01841
105.484	14.5013	1.44764	-1.21336	-0.526982	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0
106.801	13.9922	1.04507	-0.368041	0.189224	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	5.10288
106.801	13.9922	1.04507	-0.368041	0.189224	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0
108.051	13.6616	1.42305	-0.0556051	0.263099	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.888145
108.051	13.6616	1.42305	-0.0556051	0.263099	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0
109.516	13.5759	1.63776	0.0150848	0.153068	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.394863
109.516	13.5759	1.63776	0.0150848	0.153068	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0
111.056	12.608	1.65328	-0.833918	-0.43416	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	2.07642
111.056	12.608	1.65328	-0.833918	-0.43416	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	0
112.891	12.4421	1.39162	0.140659	0.406246	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	5.02843
112.891	12.4421	1.39162	0.140659	0.406246	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0
114.758	12.5515	1.96962	0.0743508	0.118719	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	2.13551
114.758	12.5515	1.96962	0.0743508	0.118719	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0
116.677	12.1149	2.05123	-0.332541	-0.191203	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0.678992
116.677	12.1149	2.05123	-0.332541	-0.191203	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0
