px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.27844	-5.08607	-2.74152	2.24931	0.547213	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0
7.44677	-5.36505	-2.74352	2.25754	0.487039	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	2.30912
7.44677	-5.36505	-2.74352	2.25754	0.487039	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0
7.5964	-5.62776	-2.7163	2.25809	0.424882	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	2.55223
7.5964	-5.62776	-2.7163	2.25809	0.424882	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0
7.81707	-5.92872	-2.86929	2.27989	0.405695	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	13.4146
7.81707	-5.92872	-2.86929	2.27989	0.405695	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0
7.98286	-6.1889	-2.84203	2.2767	0.352107	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	2.63747
7.98286	-6.1889	-2.84203	2.2767	0.352107	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0
8.1397	-6.44957	-2.80794	2.2689	0.29793	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	2.2404
8.1397	-6.44957	-2.80794	2.2689	0.29793	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0
8.30876	-6.71629	-2.80828	2.26346	0.254967	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.988068
8.30876	-6.71629	-2.80828	2.26346	0.254967	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0
8.45739	-6.96558	-2.78641	2.25103	0.210153	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	1.36852
8.45739	-6.96558	-2.78641	2.25103	0.210153	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0
